,loss
0,577590.9375
1,551362.0625
2,526150.875
3,501930.9375
4,478672.6875
5,456347.125
6,434925.90625
7,414380.65625
8,394683.65625
9,375808.03125
10,357726.125
11,340412.25
12,323839.90625
13,307983.65625
14,292818.59375
15,278320.09375
16,264464.625
17,251227.921875
18,238587.859375
19,226521.515625
20,215007.421875
21,204024.3125
22,193551.5
23,183568.78125
24,174056.484375
25,164995.65625
26,156367.84375
27,148155.15625
28,140340.265625
29,132906.296875
30,125836.84375
31,119116.4921875
32,112729.859375
33,106662.25
34,100899.46875
35,95427.8515625
36,90234.203125
37,85305.859375
38,80630.5390625
39,76196.5703125
40,71992.609375
41,68007.7890625
42,64231.71484375
43,60654.34375
44,57266.09375
45,54057.77734375
46,51020.54296875
47,48145.9921875
48,45426.0390625
49,42852.9765625
50,40419.37109375
51,38118.2265625
52,35942.77734375
53,33886.52734375
54,31943.427734375
55,30107.603515625
56,28373.4609375
57,26735.662109375
58,25189.169921875
59,23729.1484375
60,22351.01953125
61,21050.3984375
62,19823.166015625
63,18665.341796875
64,17573.22265625
65,16543.181640625
66,15571.8896484375
67,14656.107421875
68,13792.8056640625
69,12979.0830078125
70,12212.208984375
71,11489.576171875
72,10808.7197265625
73,10167.3212890625
74,9563.1591796875
75,8994.15625
76,8458.34375
77,7953.814453125
78,7478.79248046875
79,7031.59619140625
80,6610.6611328125
81,6214.47314453125
82,5841.61083984375
83,5490.7294921875
84,5160.56689453125
85,4849.94384765625
86,4557.7314453125
87,4282.8603515625
88,4024.3720703125
89,3781.26611328125
90,3552.63330078125
91,3337.626220703125
92,3135.492431640625
93,2945.447998046875
94,2766.8154296875
95,2598.884765625
96,2441.001708984375
97,2292.60595703125
98,2153.149658203125
99,2022.0943603515625
100,1898.9490966796875
101,1783.2198486328125
102,1674.4842529296875
103,1572.3638916015625
104,1476.5062255859375
105,1386.548583984375
106,1302.09228515625
107,1222.8291015625
108,1148.4547119140625
109,1078.6910400390625
110,1013.2032470703125
111,951.709716796875
112,894.0175170898438
113,839.90087890625
114,789.177490234375
115,741.7142944335938
116,697.2313842773438
117,655.412841796875
118,616.1804809570312
119,579.6842041015625
120,545.5551147460938
121,513.6138916015625
122,483.6400451660156
123,455.6550598144531
124,429.33685302734375
125,404.84228515625
126,382.2207946777344
127,361.1307678222656
128,341.1364440917969
129,322.353515625
130,304.7754211425781
131,288.7662048339844
132,273.8476867675781
133,259.6756896972656
134,246.6576690673828
135,234.28248596191406
136,222.73487854003906
137,212.04966735839844
138,202.16390991210938
139,193.22657775878906
140,184.68014526367188
141,176.71749877929688
142,169.3321075439453
143,162.2343292236328
144,155.4182586669922
145,149.1365509033203
146,143.32876586914062
147,137.79393005371094
148,132.6504364013672
149,127.82768249511719
150,123.2264633178711
151,118.88044738769531
152,114.8165512084961
153,110.95404052734375
154,107.2774887084961
155,103.70791625976562
156,100.40531921386719
157,97.27882385253906
158,94.39519500732422
159,91.48956298828125
160,88.72956848144531
161,86.17646026611328
162,83.75100708007812
163,81.42583465576172
164,79.20869445800781
165,77.09942626953125
166,75.0662612915039
167,73.07429504394531
168,71.12708282470703
169,69.29269409179688
170,67.56383514404297
171,65.95333862304688
172,64.3251953125
173,62.69672775268555
174,61.131526947021484
175,59.66733169555664
176,58.257049560546875
177,56.88743591308594
178,55.5815315246582
179,54.323875427246094
180,53.08835220336914
181,51.918479919433594
182,50.7771110534668
183,49.659637451171875
184,48.60820388793945
185,47.553646087646484
186,46.4880256652832
187,45.477848052978516
188,44.534751892089844
189,43.6374397277832
190,42.78981018066406
191,41.921783447265625
192,41.06203079223633
193,40.22237014770508
194,39.41835403442383
195,38.62778854370117
196,37.883724212646484
197,37.122196197509766
198,36.37500762939453
199,35.67456817626953
200,34.977142333984375
201,34.32786560058594
202,33.69860076904297
203,33.04762268066406
204,32.393070220947266
205,31.7684326171875
206,31.164539337158203
207,30.60251808166504
208,30.040651321411133
209,29.509288787841797
210,28.960054397583008
211,28.435871124267578
212,27.907297134399414
213,27.39441680908203
214,26.933753967285156
215,26.438522338867188
216,25.96341896057129
217,25.490528106689453
218,25.04802894592285
219,24.5882511138916
220,24.152587890625
221,23.705110549926758
222,23.266815185546875
223,22.82142448425293
224,22.421770095825195
225,22.012773513793945
226,21.608230590820312
227,21.204133987426758
228,20.83616065979004
229,20.4719181060791
230,20.1012020111084
231,19.739017486572266
232,19.39017677307129
233,19.053138732910156
234,18.70815658569336
235,18.390239715576172
236,18.068265914916992
237,17.750829696655273
238,17.44562530517578
239,17.15254020690918
240,16.835020065307617
241,16.54405975341797
242,16.231544494628906
243,15.963654518127441
244,15.697590827941895
245,15.416929244995117
246,15.146787643432617
247,14.876972198486328
248,14.625693321228027
249,14.367473602294922
250,14.114986419677734
251,13.86587142944336
252,13.642034530639648
253,13.397367477416992
254,13.178126335144043
255,12.944219589233398
256,12.715293884277344
257,12.484903335571289
258,12.24765682220459
259,12.033014297485352
260,11.803325653076172
261,11.608869552612305
262,11.388169288635254
263,11.184711456298828
264,10.997577667236328
265,10.777268409729004
266,10.599398612976074
267,10.408671379089355
268,10.219440460205078
269,10.040359497070312
270,9.862878799438477
271,9.684996604919434
272,9.510436058044434
273,9.328596115112305
274,9.158392906188965
275,8.988110542297363
276,8.82884693145752
277,8.669639587402344
278,8.514404296875
279,8.371262550354004
280,8.210787773132324
281,8.071844100952148
282,7.903131484985352
283,7.767484664916992
284,7.624879837036133
285,7.477933883666992
286,7.334650993347168
287,7.199294090270996
288,7.061129093170166
289,6.927901744842529
290,6.808558464050293
291,6.681573390960693
292,6.5712151527404785
293,6.432498455047607
294,6.327366352081299
295,6.19915771484375
296,6.0785722732543945
297,5.94871711730957
298,5.8306565284729
299,5.718681335449219
300,5.608217716217041
301,5.4874420166015625
302,5.378942489624023
303,5.283865928649902
304,5.195018768310547
305,5.080801486968994
306,4.971919059753418
307,4.8745503425598145
308,4.779424667358398
309,4.688536167144775
310,4.596379280090332
311,4.495333194732666
312,4.392355918884277
313,4.3073625564575195
314,4.220922946929932
315,4.138469696044922
316,4.052258491516113
317,3.9613869190216064
318,3.8790626525878906
319,3.799739360809326
320,3.7112882137298584
321,3.6372766494750977
322,3.5627195835113525
323,3.4723644256591797
324,3.416358232498169
325,3.3326072692871094
326,3.2642197608947754
327,3.1852171421051025
328,3.1125569343566895
329,3.0497171878814697
330,2.9812862873077393
331,2.913580894470215
332,2.8465237617492676
333,2.769117832183838
334,2.714132070541382
335,2.6520824432373047
336,2.6020443439483643
337,2.53791880607605
338,2.4733777046203613
339,2.4109084606170654
340,2.3493471145629883
341,2.296849012374878
342,2.2348520755767822
343,2.1844701766967773
344,2.1216540336608887
345,2.077216863632202
346,2.025087356567383
347,1.9702085256576538
348,1.906904697418213
349,1.860917091369629
350,1.817994475364685
351,1.7771986722946167
352,1.7153240442276
353,1.67601478099823
354,1.6275849342346191
355,1.5804184675216675
356,1.5467272996902466
357,1.495039463043213
358,1.4537266492843628
359,1.4231582880020142
360,1.3667479753494263
361,1.336676836013794
362,1.308698058128357
363,1.2559114694595337
364,1.2087033987045288
365,1.1674548387527466
366,1.1347891092300415
367,1.0969449281692505
368,1.066227674484253
369,1.0328322649002075
370,0.9925796389579773
371,0.9567224979400635
372,0.9349234104156494
373,0.903969943523407
374,0.8655954003334045
375,0.8342532515525818
376,0.8059360384941101
377,0.7703827619552612
378,0.7471030354499817
379,0.7100960612297058
380,0.6923477649688721
381,0.6694514155387878
382,0.6218159794807434
383,0.6053802371025085
384,0.5771918892860413
385,0.5369663238525391
386,0.5325688719749451
387,0.5131973624229431
388,0.47261694073677063
389,0.46138545870780945
390,0.4351978003978729
391,0.4037103056907654
392,0.37854453921318054
393,0.36071085929870605
394,0.3404729664325714
395,0.30398061871528625
396,0.2928431034088135
397,0.2708316445350647
398,0.244596928358078
399,0.2400256097316742
400,0.2061462551355362
401,0.19231559336185455
402,0.1906392127275467
403,0.1645084023475647
404,0.1244160458445549
405,0.11692406982183456
406,0.1085146963596344
407,0.08484374731779099
408,0.07184946537017822
409,0.04410890117287636
410,0.03722364082932472
411,0.015695832669734955
412,0.017484134063124657
413,-0.02033042535185814
414,-0.014775301329791546
415,-0.04479924216866493
416,-0.05613415315747261
417,-0.08154621720314026
418,-0.06798338145017624
419,-0.0982108861207962
420,-0.09923595190048218
421,-0.1255059689283371
422,-0.12453597784042358
423,-0.1387944519519806
424,-0.1488308161497116
425,-0.17223818600177765
426,-0.1812065690755844
427,-0.20039109885692596
428,-0.20958779752254486
429,-0.21420076489448547
430,-0.2297602891921997
431,-0.24641506373882294
432,-0.24089334905147552
433,-0.25764891505241394
434,-0.27502763271331787
435,-0.2650265693664551
436,-0.28959348797798157
437,-0.29380813241004944
438,-0.2993879020214081
439,-0.31704697012901306
440,-0.3214375376701355
441,-0.3151153326034546
442,-0.3235829770565033
443,-0.34097743034362793
444,-0.3486861288547516
445,-0.3552049398422241
446,-0.3571605682373047
447,-0.37313157320022583
448,-0.3615516424179077
449,-0.3859936594963074
450,-0.39237797260284424
451,-0.3856099545955658
452,-0.4110262989997864
453,-0.4122622013092041
454,-0.4177112877368927
455,-0.4313206672668457
456,-0.43608856201171875
457,-0.4246003031730652
458,-0.45111122727394104
459,-0.4412935972213745
460,-0.44655275344848633
461,-0.45504409074783325
462,-0.47268879413604736
463,-0.4692704379558563
464,-0.48135316371917725
465,-0.4737340807914734
466,-0.48338186740875244
467,-0.47831884026527405
468,-0.4859890937805176
469,-0.4823038876056671
470,-0.4919363260269165
471,-0.4962405264377594
472,-0.5101318359375
473,-0.49781516194343567
474,-0.4957526922225952
475,-0.5085164308547974
476,-0.5069823861122131
477,-0.5071806907653809
478,-0.5237081050872803
479,-0.5208714008331299
480,-0.5142278075218201
481,-0.5263180136680603
482,-0.5420753955841064
483,-0.5220396518707275
484,-0.536327600479126
485,-0.5408644080162048
486,-0.5413368940353394
487,-0.539733350276947
488,-0.5488446354866028
489,-0.5392798781394958
490,-0.5502710342407227
491,-0.541778028011322
492,-0.5600547790527344
493,-0.5474114418029785
494,-0.5575767159461975
495,-0.5526155829429626
496,-0.5649477243423462
497,-0.5664149522781372
498,-0.5639556646347046
499,-0.5467950105667114
500,-0.5590296983718872
501,-0.5553068518638611
502,-0.5807519555091858
503,-0.5658668279647827
504,-0.5850031971931458
505,-0.5871402025222778
506,-0.578147292137146
507,-0.5964689254760742
508,-0.5822962522506714
509,-0.5819445848464966
510,-0.5815202593803406
511,-0.5935478210449219
512,-0.5909728407859802
513,-0.5939233899116516
514,-0.5771967768669128
515,-0.5827537178993225
516,-0.5862648487091064
517,-0.5851865410804749
518,-0.5909463167190552
519,-0.5837952494621277
520,-0.5898292064666748
521,-0.6001192331314087
522,-0.6004346609115601
523,-0.5892472267150879
524,-0.5900362730026245
525,-0.6035657525062561
526,-0.5938517451286316
527,-0.596004843711853
528,-0.6035354137420654
529,-0.6109433770179749
530,-0.6073197722434998
531,-0.597231388092041
532,-0.608712375164032
533,-0.5937720537185669
534,-0.6166791915893555
535,-0.6059504151344299
536,-0.5955135822296143
537,-0.6148554086685181
538,-0.6098047494888306
539,-0.6039108633995056
540,-0.6047995090484619
541,-0.6012668609619141
542,-0.6119357347488403
543,-0.6112387776374817
544,-0.6155499219894409
545,-0.6141228079795837
546,-0.6209933757781982
547,-0.6068423986434937
548,-0.627493143081665
549,-0.6172314286231995
550,-0.6360423564910889
551,-0.615420937538147
552,-0.6219423413276672
553,-0.6221757531166077
554,-0.6274920105934143
555,-0.6204056143760681
556,-0.6190756559371948
557,-0.6340163946151733
558,-0.615271270275116
559,-0.6310608983039856
560,-0.6281936168670654
561,-0.6245366334915161
562,-0.6290252804756165
563,-0.6408079862594604
564,-0.6361820101737976
565,-0.6227121949195862
566,-0.6287881731987
567,-0.6523078680038452
568,-0.6287169456481934
569,-0.6487710475921631
570,-0.631736695766449
571,-0.6466162800788879
572,-0.64097660779953
573,-0.6469159722328186
574,-0.6337649822235107
575,-0.6374577283859253
576,-0.6404740214347839
577,-0.6459910273551941
578,-0.6428099274635315
579,-0.6498281955718994
580,-0.6455792784690857
581,-0.6318291425704956
582,-0.632378339767456
583,-0.6411473155021667
584,-0.6341599225997925
585,-0.653423547744751
586,-0.6464446783065796
587,-0.6529545783996582
588,-0.6396859288215637
589,-0.659456729888916
590,-0.6487665176391602
591,-0.6299458742141724
592,-0.6467418074607849
593,-0.6731324195861816
594,-0.6415834426879883
595,-0.6287227869033813
596,-0.6611374616622925
597,-0.6608328819274902
598,-0.6625264883041382
599,-0.6603232622146606
